regime,epsilon,n_candidates,served,utility,mean_purif_rounds
agnostic,0.5,2,2,103.31075767113992,0.0
agnostic,0.3,1,1,49.01215897575687,0.0
agnostic,0.2,1,1,49.01215897575687,0.0
agnostic,0.1,0,0,0.0,0.0
agnostic,0.05,0,0,0.0,0.0
agnostic,0.01,0,0,0.0,0.0
aware,0.5,20,3,117.39274568158511,0.3333333333333333
aware,0.3,17,3,109.00141552503138,0.6666666666666666
aware,0.2,14,3,101.63058869341175,1.0
aware,0.1,11,3,74.0921094637542,1.6666666666666667
aware,0.05,8,1,34.45825544808736,1.0
aware,0.01,6,1,17.22034727583412,2.0
