scenario,allocator,mu_el,filter_db,n_bundles,accepted,n_requests,acceptance_rate,total_utility,avg_fidelity,insecure_admitted,n_insecure_edges,mean_delta_f,feasible,topology,operating_point,seed
clean,utility_per_resource_greedy,0.0,0.0,18,4,10,0.4,6.074772169400614,0.8602466475654689,0,0,0.0,True,chain8,"1.4 V, 200 ps",0
clean,congestion_aware_greedy,0.0,0.0,18,4,10,0.4,6.074772169400614,0.8602466475654689,0,0,0.0,True,chain8,"1.4 V, 200 ps",0
clean,greedy_local_search,0.0,0.0,18,4,10,0.4,6.074772169400614,0.8602466475654689,0,0,0.0,True,chain8,"1.4 V, 200 ps",0
clean,cp_sat_exact,0.0,0.0,18,4,10,0.4,6.074772169400614,0.8602466475654689,0,0,0.0,True,chain8,"1.4 V, 200 ps",0
blind,utility_per_resource_greedy,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
blind,congestion_aware_greedy,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
blind,greedy_local_search,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
blind,cp_sat_exact,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
aware,utility_per_resource_greedy,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
aware,congestion_aware_greedy,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
aware,greedy_local_search,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
aware,cp_sat_exact,0.004771364878891034,0.0,18,4,10,0.4,6.063666502940908,0.8597118289164136,0,0,0.0002712345900474406,True,chain8,"1.4 V, 200 ps",0
clean,utility_per_resource_greedy,0.0,0.0,28,8,10,0.8,22.09433295099259,0.8193685807407407,0,0,0.0,True,chain8,"1.4 V, 200 ps",1
clean,congestion_aware_greedy,0.0,0.0,28,8,10,0.8,22.607824978725926,0.8122393837037037,0,0,0.0,True,chain8,"1.4 V, 200 ps",1
clean,greedy_local_search,0.0,0.0,28,8,10,0.8,22.09433295099259,0.8193685807407407,0,0,0.0,True,chain8,"1.4 V, 200 ps",1
clean,cp_sat_exact,0.0,0.0,28,8,10,0.8,22.607824978725926,0.8122393837037037,0,0,0.0,True,chain8,"1.4 V, 200 ps",1
blind,utility_per_resource_greedy,0.004771364878891034,0.0,28,8,10,0.8,22.07604962390377,0.8186284537599862,0,0,0.0003839248036259235,True,chain8,"1.4 V, 200 ps",1
blind,congestion_aware_greedy,0.004771364878891034,0.0,28,8,10,0.8,22.58782939732226,0.8114504365674773,0,0,0.0003839248036259235,True,chain8,"1.4 V, 200 ps",1
blind,greedy_local_search,0.004771364878891034,0.0,28,8,10,0.8,22.07604962390377,0.8186284537599862,0,0,0.0003839248036259235,True,chain8,"1.4 V, 200 ps",1
blind,cp_sat_exact,0.004771364878891034,0.0,28,8,10,0.8,22.58782939732226,0.8114504365674773,0,0,0.0003839248036259235,True,chain8,"1.4 V, 200 ps",1
aware,utility_per_resource_greedy,0.004771364878891034,0.0,28,8,10,0.8,22.07604962390377,0.8186284537599862,0,0,0.0003839248036259235,True,chain8,"1.4 V, 200 ps",1
