operating_point,filter_db,scenario,mean_accepted,mean_utility,mean_fidelity,mean_insecure_admitted,mean_insecure_edges,mean_delta_f,n,reference_allocator
"1.4 V, 1.6 ns",0.0,aware,7.65,23.70646488689848,0.8452209298255561,0.0,0.0,0.004249670326224961,20,cp_sat_exact
"1.4 V, 1.6 ns",0.0,blind,7.65,23.706450959630573,0.8452204773477163,0.0,0.0,0.004249670326224961,20,cp_sat_exact
"1.4 V, 1.6 ns",0.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"1.4 V, 1.6 ns",10.0,aware,7.75,24.090128581132635,0.851898946650999,0.0,0.0,0.0004293066538113515,20,cp_sat_exact
"1.4 V, 1.6 ns",10.0,blind,7.75,24.090128581132635,0.851898946650999,0.0,0.0,0.0004293066538113515,20,cp_sat_exact
"1.4 V, 1.6 ns",10.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"1.4 V, 1.6 ns",20.0,aware,7.75,24.106148615452256,0.852556785425096,0.0,0.0,4.2974669493977576e-05,20,cp_sat_exact
"1.4 V, 1.6 ns",20.0,blind,7.75,24.106118929652954,0.852556114403755,0.0,0.0,4.2974669493977576e-05,20,cp_sat_exact
"1.4 V, 1.6 ns",20.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"1.4 V, 200 ps",0.0,aware,7.75,24.08598869218528,0.8517289890286568,0.0,0.0,0.0005274690408713284,20,cp_sat_exact
"1.4 V, 200 ps",0.0,blind,7.75,24.08598869218528,0.8517289890286568,0.0,0.0,0.0005274690408713284,20,cp_sat_exact
"1.4 V, 200 ps",0.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"1.4 V, 200 ps",10.0,aware,7.75,24.10575089469432,0.852539999640129,0.0,0.0,5.281334313475595e-05,20,cp_sat_exact
"1.4 V, 200 ps",10.0,blind,7.75,24.105745491952415,0.8525400730290482,0.0,0.0,5.281334313475595e-05,20,cp_sat_exact
"1.4 V, 200 ps",10.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"1.4 V, 200 ps",20.0,aware,7.75,24.10774066090959,0.8526224794045751,0.0,0.0,5.281999849330548e-06,20,cp_sat_exact
"1.4 V, 200 ps",20.0,blind,7.75,24.107740999632306,0.8526224883552537,0.0,0.0,5.281999849330548e-06,20,cp_sat_exact
"1.4 V, 200 ps",20.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"2.0 V, 1.6 ns",0.0,aware,2.0,6.395392529021477,0.8378501319501804,0.0,6.15,0.01052100455655508,20,cp_sat_exact
"2.0 V, 1.6 ns",0.0,blind,7.45,22.631443013684137,0.8381882881816377,6.0,6.15,0.01052100455655508,20,cp_sat_exact
"2.0 V, 1.6 ns",0.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"2.0 V, 1.6 ns",10.0,aware,7.75,24.063211506325132,0.8507922341691918,0.0,0.0,0.001078981202899245,20,cp_sat_exact
"2.0 V, 1.6 ns",10.0,blind,7.75,24.063211506325132,0.8507922341691918,0.0,0.0,0.001078981202899245,20,cp_sat_exact
"2.0 V, 1.6 ns",10.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
"2.0 V, 1.6 ns",20.0,aware,7.75,24.103411142619763,0.8524446705187142,0.0,0.0,0.00010817638527542536,20,cp_sat_exact
"2.0 V, 1.6 ns",20.0,blind,7.75,24.103393747538124,0.852443542537902,0.0,0.0,0.00010817638527542536,20,cp_sat_exact
"2.0 V, 1.6 ns",20.0,clean,7.75,24.107970852180465,0.8526316893324288,0.0,0.0,0.0,20,cp_sat_exact
