instance,regime,served,n_requests,served_ratio,mean_delivered_fidelity,utility,mean_eps,empirical_violation_rate,regime_family
0,deterministic,6,15,0.4,0.34498195486438127,622.655912317709,,,edge_dominated
0,stochastic_fixed_eps(0.01),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,edge_dominated
0,stochastic_fixed_eps(0.1),6,15,0.4,0.34498195486438127,622.655912317709,0.09999999999999999,0.0,edge_dominated
0,stochastic_fixed_eps(0.2),6,15,0.4,0.34498195486438127,622.655912317709,0.19999999999999998,0.0,edge_dominated
0,stochastic_fixed_eps(0.4),6,15,0.4,0.34498195486438127,622.655912317709,0.39999999999999997,0.0,edge_dominated
0,stochastic_coopt_eps(w=0.2),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,edge_dominated
0,stochastic_coopt_eps(w=1.0),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,edge_dominated
0,stochastic_coopt_eps(w=3.0),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,edge_dominated
1,deterministic,5,16,0.3125,0.3338014837531157,364.859958090154,,,edge_dominated
1,stochastic_fixed_eps(0.01),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,edge_dominated
1,stochastic_fixed_eps(0.1),5,16,0.3125,0.3338014837531157,364.859958090154,0.1,0.0,edge_dominated
1,stochastic_fixed_eps(0.2),5,16,0.3125,0.3338014837531157,364.859958090154,0.2,0.0,edge_dominated
1,stochastic_fixed_eps(0.4),5,16,0.3125,0.3338014837531157,364.859958090154,0.4,0.0,edge_dominated
1,stochastic_coopt_eps(w=0.2),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,edge_dominated
1,stochastic_coopt_eps(w=1.0),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,edge_dominated
1,stochastic_coopt_eps(w=3.0),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,edge_dominated
2,deterministic,7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,,,edge_dominated
2,stochastic_fixed_eps(0.01),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.01,0.0,edge_dominated
2,stochastic_fixed_eps(0.1),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.09999999999999999,0.0,edge_dominated
2,stochastic_fixed_eps(0.2),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.19999999999999998,0.0,edge_dominated
2,stochastic_fixed_eps(0.4),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.39999999999999997,0.0,edge_dominated
2,stochastic_coopt_eps(w=0.2),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.01,0.0,edge_dominated
2,stochastic_coopt_eps(w=1.0),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.01,0.0,edge_dominated
2,stochastic_coopt_eps(w=3.0),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.01,0.0,edge_dominated
0,deterministic,6,15,0.4,0.34498195486438127,622.655912317709,,,memory_tightened
0,stochastic_fixed_eps(0.01),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,memory_tightened
0,stochastic_fixed_eps(0.1),6,15,0.4,0.34498195486438127,622.655912317709,0.09999999999999999,0.0,memory_tightened
0,stochastic_fixed_eps(0.2),6,15,0.4,0.34498195486438127,622.655912317709,0.19999999999999998,0.0,memory_tightened
0,stochastic_fixed_eps(0.4),6,15,0.4,0.34498195486438127,622.655912317709,0.39999999999999997,0.0,memory_tightened
0,stochastic_coopt_eps(w=0.2),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,memory_tightened
0,stochastic_coopt_eps(w=1.0),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,memory_tightened
0,stochastic_coopt_eps(w=3.0),6,15,0.4,0.34498195486438127,622.655912317709,0.01,0.0,memory_tightened
1,deterministic,5,16,0.3125,0.3338014837531157,364.859958090154,,,memory_tightened
1,stochastic_fixed_eps(0.01),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,memory_tightened
1,stochastic_fixed_eps(0.1),5,16,0.3125,0.3338014837531157,364.859958090154,0.1,0.0,memory_tightened
1,stochastic_fixed_eps(0.2),5,16,0.3125,0.3338014837531157,364.859958090154,0.2,0.0,memory_tightened
1,stochastic_fixed_eps(0.4),5,16,0.3125,0.3338014837531157,364.859958090154,0.4,0.0,memory_tightened
1,stochastic_coopt_eps(w=0.2),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,memory_tightened
1,stochastic_coopt_eps(w=1.0),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,memory_tightened
1,stochastic_coopt_eps(w=3.0),5,16,0.3125,0.3338014837531157,364.859958090154,0.01,0.0,memory_tightened
2,deterministic,7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,,,memory_tightened
2,stochastic_fixed_eps(0.01),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.01,0.0,memory_tightened
2,stochastic_fixed_eps(0.1),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.09999999999999999,0.0,memory_tightened
2,stochastic_fixed_eps(0.2),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.19999999999999998,0.0,memory_tightened
2,stochastic_fixed_eps(0.4),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.39999999999999997,0.0,memory_tightened
2,stochastic_coopt_eps(w=0.2),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.11714285714285713,0.0,memory_tightened
2,stochastic_coopt_eps(w=1.0),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.11714285714285713,0.0,memory_tightened
2,stochastic_coopt_eps(w=3.0),7,15,0.4666666666666667,0.32900985327685905,660.6286626063795,0.01,0.0,memory_tightened
