topology,instance_seed,n_requests,calibration,sampler,reads,sweeps,solver_seed,independent_reads,n_samples,n_distinct_samples,raw_feasible_rate,any_raw_feasible,repaired_gap_pct
chain10_c6,10,8,conventional,sa,10,10000,101,True,10,10,0.2,1.0,68.17024942352604
chain10_c6,10,8,conventional,sa,10,10000,202,True,10,10,0.1,1.0,58.467223516597834
chain10_c6,10,8,conventional,sa,10,default,101,True,10,10,0.2,1.0,65.0159012225229
chain10_c6,10,8,conventional,sa,10,default,202,True,10,10,0.1,1.0,52.67023695850358
chain10_c6,10,8,conventional,sa,100,default,101,True,100,99,0.16,1.0,16.13398390188421
chain10_c6,10,8,conventional,sa,100,default,202,True,100,94,0.2,1.0,15.484235406474703
chain10_c6,10,8,resource_aware_per,sa,10,10000,101,True,10,10,0.3,1.0,33.24608455998793
chain10_c6,10,8,resource_aware_per,sa,10,10000,202,True,10,10,0.4,1.0,29.457764922123022
chain10_c6,10,8,resource_aware_per,sa,10,default,101,True,10,10,0.3,1.0,33.24608455998793
chain10_c6,10,8,resource_aware_per,sa,10,default,202,True,10,10,0.3,1.0,29.457764922123022
chain10_c6,10,8,resource_aware_per,sa,100,default,101,True,100,100,0.28,1.0,15.484235406474703
chain10_c6,10,8,resource_aware_per,sa,100,default,202,True,100,100,0.3,1.0,11.033786790907765
chain10_c6,10,16,conventional,sa,10,10000,101,True,10,10,0.0,0.0,68.85104227379252
chain10_c6,10,16,conventional,sa,10,10000,202,True,10,10,0.2,1.0,70.02393925821376
chain10_c6,10,16,conventional,sa,10,default,101,True,10,10,0.0,0.0,68.85104227379252
chain10_c6,10,16,conventional,sa,10,default,202,True,10,10,0.1,1.0,70.02393925821376
chain10_c6,10,16,conventional,sa,100,default,101,True,100,79,0.13,1.0,50.98093209968416
chain10_c6,10,16,conventional,sa,100,default,202,True,100,82,0.16,1.0,31.96621084901247
chain10_c6,10,16,resource_aware_per,sa,10,10000,101,True,10,10,0.7,1.0,49.63633093642129
chain10_c6,10,16,resource_aware_per,sa,10,10000,202,True,10,10,0.7,1.0,46.01185856004474
chain10_c6,10,16,resource_aware_per,sa,10,default,101,True,10,10,0.5,1.0,66.20350856092729
chain10_c6,10,16,resource_aware_per,sa,10,default,202,True,10,10,0.9,1.0,57.0424053907323
chain10_c6,10,16,resource_aware_per,sa,100,default,101,True,100,100,0.47,1.0,39.195975803330164
chain10_c6,10,16,resource_aware_per,sa,100,default,202,True,100,100,0.59,1.0,41.18307211503514
chain10_c6,10,24,conventional,sa,10,10000,101,True,10,10,0.0,0.0,83.612471803635
chain10_c6,10,24,conventional,sa,10,10000,202,True,10,9,0.1,1.0,74.0050241555834
chain10_c6,10,24,conventional,sa,10,default,101,True,10,10,0.0,0.0,90.47233392287035
chain10_c6,10,24,conventional,sa,10,default,202,True,10,9,0.1,1.0,86.24800992262672
chain10_c6,10,24,conventional,sa,100,default,101,True,100,73,0.1,1.0,69.24738544584942
chain10_c6,10,24,conventional,sa,100,default,202,True,100,69,0.1,1.0,71.55626453024267
chain10_c6,10,24,resource_aware_per,sa,10,10000,101,True,10,10,0.7,1.0,33.816938682728576
chain10_c6,10,24,resource_aware_per,sa,10,10000,202,True,10,10,0.5,1.0,43.16017003161923
chain10_c6,10,24,resource_aware_per,sa,10,default,101,True,10,10,0.4,1.0,34.34902431754224
chain10_c6,10,24,resource_aware_per,sa,10,default,202,True,10,10,0.4,1.0,68.30813956789153
chain10_c6,10,24,resource_aware_per,sa,100,default,101,True,100,100,0.49,1.0,23.09822217048361
chain10_c6,10,24,resource_aware_per,sa,100,default,202,True,100,100,0.51,1.0,25.813648877933172
chain10_c6,11,8,conventional,sa,10,10000,101,True,10,10,0.6,1.0,15.425333606722514
chain10_c6,11,8,conventional,sa,10,10000,202,True,10,10,0.3,1.0,15.425333606722514
chain10_c6,11,8,conventional,sa,10,default,101,True,10,10,0.3,1.0,6.862451254791278
chain10_c6,11,8,conventional,sa,10,default,202,True,10,10,0.1,1.0,13.111270377390444
chain10_c6,11,8,conventional,sa,100,default,101,True,100,100,0.27,1.0,6.585103886614766
chain10_c6,11,8,conventional,sa,100,default,202,True,100,100,0.27,1.0,2.567279796548004
chain10_c6,11,8,resource_aware_per,sa,10,10000,101,True,10,10,0.1,1.0,15.678550173938433
chain10_c6,11,8,resource_aware_per,sa,10,10000,202,True,10,10,0.1,1.0,6.248819122599189
chain10_c6,11,8,resource_aware_per,sa,10,default,101,True,10,10,0.1,1.0,15.678550173938433
chain10_c6,11,8,resource_aware_per,sa,10,default,202,True,10,10,0.1,1.0,6.248819122599189
chain10_c6,11,8,resource_aware_per,sa,100,default,101,True,100,100,0.28,1.0,13.111270377390444
chain10_c6,11,8,resource_aware_per,sa,100,default,202,True,100,100,0.3,1.0,6.248819122599189
chain10_c6,11,16,conventional,sa,10,10000,101,True,10,10,0.1,1.0,42.19704359338851
chain10_c6,11,16,conventional,sa,10,10000,202,True,10,10,0.2,1.0,46.12923241111744
chain10_c6,11,16,conventional,sa,10,default,101,True,10,10,0.0,0.0,42.19704359338851
chain10_c6,11,16,conventional,sa,10,default,202,True,10,9,0.2,1.0,46.12923241111744
chain10_c6,11,16,conventional,sa,100,default,101,True,100,97,0.13,1.0,12.173821636832255
chain10_c6,11,16,conventional,sa,100,default,202,True,100,97,0.22,1.0,2.080300945884909
chain10_c6,11,16,resource_aware_per,sa,10,10000,101,True,10,10,0.4,1.0,32.605468494406786
chain10_c6,11,16,resource_aware_per,sa,10,10000,202,True,10,10,0.3,1.0,22.10493251477693
chain10_c6,11,16,resource_aware_per,sa,10,default,101,True,10,10,0.3,1.0,31.162941604498066
chain10_c6,11,16,resource_aware_per,sa,10,default,202,True,10,10,0.2,1.0,31.62540555876153
chain10_c6,11,16,resource_aware_per,sa,100,default,101,True,100,100,0.33,1.0,10.29987867294443
chain10_c6,11,16,resource_aware_per,sa,100,default,202,True,100,100,0.27,1.0,5.063501200331161
chain10_c6,11,24,conventional,sa,10,10000,101,True,10,10,0.2,1.0,45.07424292438159
chain10_c6,11,24,conventional,sa,10,10000,202,True,10,10,0.1,1.0,44.0301084868555
chain10_c6,11,24,conventional,sa,10,default,101,True,10,10,0.1,1.0,45.07424292438159
chain10_c6,11,24,conventional,sa,10,default,202,True,10,10,0.1,1.0,44.0301084868555
chain10_c6,11,24,conventional,sa,100,default,101,True,100,84,0.14,1.0,42.94641910658356
chain10_c6,11,24,conventional,sa,100,default,202,True,100,90,0.13,1.0,19.592831737255608
chain10_c6,11,24,resource_aware_per,sa,10,10000,101,True,10,10,0.6,1.0,25.897282722472042
chain10_c6,11,24,resource_aware_per,sa,10,10000,202,True,10,10,0.4,1.0,32.03932203974023
chain10_c6,11,24,resource_aware_per,sa,10,default,101,True,10,10,0.5,1.0,30.495946357585932
chain10_c6,11,24,resource_aware_per,sa,10,default,202,True,10,10,0.3,1.0,34.71672613868685
chain10_c6,11,24,resource_aware_per,sa,100,default,101,True,100,100,0.51,1.0,28.826522378981103
chain10_c6,11,24,resource_aware_per,sa,100,default,202,True,100,100,0.47,1.0,21.932986085939962
chain10_c6,12,8,conventional,sa,10,10000,101,True,10,9,0.1,1.0,38.50285432229171
chain10_c6,12,8,conventional,sa,10,10000,202,True,10,9,0.2,1.0,38.50285432229171
chain10_c6,12,8,conventional,sa,10,default,101,True,10,8,0.1,1.0,38.50285432229171
chain10_c6,12,8,conventional,sa,10,default,202,True,10,9,0.2,1.0,38.50285432229171
chain10_c6,12,8,conventional,sa,100,default,101,True,100,81,0.12,1.0,29.085870356509005
chain10_c6,12,8,conventional,sa,100,default,202,True,100,79,0.14,1.0,15.67364186417657
chain10_c6,12,8,resource_aware_per,sa,10,10000,101,True,10,10,0.1,1.0,43.24623760741495
chain10_c6,12,8,resource_aware_per,sa,10,10000,202,True,10,10,0.4,1.0,32.230893203826795
chain10_c6,12,8,resource_aware_per,sa,10,default,101,True,10,10,0.1,1.0,43.24623760741495
chain10_c6,12,8,resource_aware_per,sa,10,default,202,True,10,10,0.3,1.0,32.230893203826795
chain10_c6,12,8,resource_aware_per,sa,100,default,101,True,100,100,0.23,1.0,21.50936819189784
chain10_c6,12,8,resource_aware_per,sa,100,default,202,True,100,100,0.29,1.0,8.322150861333984
chain10_c6,12,16,conventional,sa,10,10000,101,True,10,10,0.0,0.0,45.50518492959313
chain10_c6,12,16,conventional,sa,10,10000,202,True,10,10,0.0,0.0,39.847229423213136
chain10_c6,12,16,conventional,sa,10,default,101,True,10,10,0.0,0.0,45.50518492959313
chain10_c6,12,16,conventional,sa,10,default,202,True,10,10,0.0,0.0,39.847229423213136
chain10_c6,12,16,conventional,sa,100,default,101,True,100,97,0.01,1.0,38.75026739492668
chain10_c6,12,16,conventional,sa,100,default,202,True,100,96,0.05,1.0,29.035469506379787
chain10_c6,12,16,resource_aware_per,sa,10,10000,101,True,10,10,0.5,1.0,40.99772701885235
chain10_c6,12,16,resource_aware_per,sa,10,10000,202,True,10,10,0.1,1.0,39.847229423213136
chain10_c6,12,16,resource_aware_per,sa,10,default,101,True,10,10,0.3,1.0,40.63819328852946
chain10_c6,12,16,resource_aware_per,sa,10,default,202,True,10,10,0.3,1.0,29.08362070653592
chain10_c6,12,16,resource_aware_per,sa,100,default,101,True,100,100,0.28,1.0,17.666161512122365
chain10_c6,12,16,resource_aware_per,sa,100,default,202,True,100,100,0.31,1.0,22.213130995830358
chain10_c6,12,24,conventional,sa,10,10000,101,True,10,9,0.0,0.0,61.06234680127985
chain10_c6,12,24,conventional,sa,10,10000,202,True,10,10,0.0,0.0,64.56665067291135
chain10_c6,12,24,conventional,sa,10,default,101,True,10,9,0.0,0.0,70.28895872911225
chain10_c6,12,24,conventional,sa,10,default,202,True,10,10,0.0,0.0,71.12176872237436
chain10_c6,12,24,conventional,sa,100,default,101,True,100,56,0.01,1.0,44.722885306548946
