topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_per_resource_mean,B_per_resource_min,B_per_resource_max,B_per_resource_n,D_per_resource_mean,D_per_resource_min,D_per_resource_max,D_per_resource_n,B_ratio_per,D_ratio_per,B_tighter,D_tighter,B_n_tightened,D_n_tightened
chain8_c4,req8,10,8,15,2.16176216176,2.16176216176,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1.0,1.0,1.2587432784266663,2.16176e-06,2.16176216176,6,0.8605506414474999,2.16176e-06,2.16176216176,8,0.5822764875308298,0.39807831623201423,False,False,5,6
chain8_c4,req16,10,16,25,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1.0,1.0,2.2971624426759836,0.33641640727589034,5.723581723575999,7,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.4013505098064284,0.5253349530575763,False,False,6,6
chain8_c4,req24,10,24,34,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1.0,1.0,2.751072309290285,1.6170450735759996,5.723581723575999,7,3.2752273017009994,2.042357223575999,5.723581723575999,8,0.4806557226148001,0.5722338668128061,False,False,6,6
chain8_c4,req8,11,8,11,4.884806884802,4.884806884802,4.884806884802,4.884806884802,4.884806884802,4.884806884802,1.0,1.0,1.549668256230571,4.884801999999999e-06,4.884806884802,7,1.4491297348019996,4.884801999999999e-06,4.884806884802,8,0.31724248118221876,0.2966605986637153,False,False,6,7
chain8_c4,req16,11,16,20,4.884806884802,4.884806884802,4.884806884802,4.884806884802,4.884806884802,4.884806884802,1.0,1.0,1.828350569916827,4.884801999999999e-06,4.884806884802,7,1.8692839816114335,4.884801999999999e-06,4.884806884802,8,0.37429331661100806,0.3826730566211939,False,False,6,7
chain8_c4,req24,11,24,30,5.052178052173,5.052178052173,5.052178052173,5.052178052173,5.052178052173,5.052178052173,1.0,1.0,2.4107485804446993,5.052173e-06,5.052178052173,7,3.6022816021729995,5.052173e-06,5.052178052173,8,0.4771701542481878,0.7130155677359029,False,False,6,6
chain8_c4,req8,12,8,14,4.1419346419305,4.1419346419305,4.1419346419305,4.1419346419305,4.1419346419305,4.1419346419305,1.0,1.0,3.6261951619304993,2.7003571419305,4.1419346419305,5,2.200439787763833,4.141930499999999e-06,4.1419346419305,6,0.8754834335677443,0.531258935254043,False,False,4,4
chain8_c4,req16,12,16,24,5.1354836354785,5.1354836354785,5.1354836354785,5.1354836354785,5.1354836354785,5.1354836354785,1.0,1.0,2.8354003640499283,5.1354785e-06,5.1354836354785,7,2.9870213479784997,5.1354785e-06,5.1354836354785,8,0.5521194429403997,0.5816436308632466,False,False,6,6
chain8_c4,req24,12,24,43,5.1354836354785,5.1354836354785,5.1354836354785,5.1354836354785,5.1354836354785,5.1354836354785,1.0,1.0,3.9929864069070713,2.7003581354785,5.1354836354785,7,4.1688089042284995,2.8478920354784996,5.1354836354785,8,0.7775287957927693,0.8117655901828358,False,False,6,6
chain8_c4,req8,13,8,13,2.248737448735199,2.248737448735199,2.248737448735199,2.248737448735199,2.248737448735199,2.248737448735199,1.0,1.0,0.8723017004018664,2.248735199999999e-06,2.248737448735199,6,1.0689353787351996,2.248735199999999e-06,2.248737448735199,7,0.3879073125644312,0.47534912505522675,False,False,4,4
